rep,proto,ber,e2e_delay,vel,time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
4,cubic,100000,100000,500000kbps,20230905213621.249,10.0.3.20,38240,10.0.0.20,5001,3,0.0-12.1,1256864,832097
4,cubic,100000,10000,700000kbps,20230905213654.207,10.0.3.20,43186,10.0.0.20,5001,3,0.0-10.2,3276800,2580315
4,cubic,100000,100000,700000kbps,connect failed: Network is unreachable
4,cubic,1000000,10000,500000kbps,connect failed: Network is unreachable
4,cubic,1000000,100000,500000kbps,20230905213833.552,10.0.3.20,56520,10.0.0.20,5001,3,0.0-11.3,8388608,5951966
4,cubic,1000000,10000,700000kbps,connect failed: Network is unreachable
4,cubic,1000000,100000,700000kbps,20230905214004.466,10.0.3.20,40140,10.0.0.20,5001,3,0.0-10.0,2228224,1778297
5,reno,100000,10000,500000kbps,20230905214025.168,10.0.3.20,56114,10.0.0.20,5001,3,0.0-10.1,4718592,3746564
5,reno,100000,100000,500000kbps,20230905214115.021,10.0.3.20,56950,10.0.0.20,5001,3,0.0-10.4,655360,502109
5,reno,100000,10000,700000kbps,connect failed: Network is unreachable
5,reno,100000,100000,700000kbps,20230905214213.244,10.0.3.20,43232,10.0.0.20,5001,3,0.0-10.6,524288,397413
5,reno,1000000,10000,500000kbps,20230905214234.537,10.0.3.20,60420,10.0.0.20,5001,3,0.0-10.0,16515072,13203409
5,reno,1000000,100000,500000kbps,connect failed: Network is unreachable
5,reno,1000000,10000,700000kbps,connect failed: Network is unreachable
5,reno,1000000,100000,700000kbps,20230905214416.604,10.0.3.20,57846,10.0.0.20,5001,3,0.0-12.3,6594192,4284771
5,cubic,100000,10000,500000kbps,connect failed: Network is unreachable
5,cubic,100000,100000,500000kbps,20230905214800.728,10.0.3.20,47380,10.0.0.20,5001,3,0.0-11.2,393216,282062
5,cubic,100000,10000,700000kbps,20230905214821.783,10.0.3.20,58548,10.0.0.20,5001,3,0.0-10.2,4980736,3904463
5,cubic,100000,100000,700000kbps,20230905214947.806,10.0.3.20,40552,10.0.0.20,5001,3,0.0-10.7,655360,489147
5,cubic,1000000,10000,500000kbps,connect failed: Network is unreachable
5,cubic,1000000,100000,500000kbps,20230905215047.081,10.0.3.20,35138,10.0.0.20,5001,3,0.0-11.1,68288512,49190732
5,cubic,1000000,10000,700000kbps,20230905215108.760,10.0.3.20,44496,10.0.0.20,5001,3,0.0-10.5,40632320,30956271
5,cubic,1000000,100000,700000kbps,20230905215200.418,10.0.3.20,47550,10.0.0.20,5001,3,0.0-10.5,2621440,2004968
6,reno,100000,10000,500000kbps,connect failed: Network is unreachable
6,reno,100000,100000,500000kbps,20230905215334.718,10.0.3.20,33092,10.0.0.20,5001,3,0.0-13.4,1831720,1096213
6,reno,100000,10000,700000kbps,20230905215356.240,10.0.3.20,33990,10.0.0.20,5001,3,0.0-10.3,3801088,2960361
6,reno,100000,100000,700000kbps,20230905215521.557,10.0.3.20,50948,10.0.0.20,5001,3,0.0-11.7,917504,629481
6,reno,1000000,10000,500000kbps,20230905215542.875,10.0.3.20,60604,10.0.0.20,5001,3,0.0-10.1,112066560,88869278
6,reno,1000000,100000,500000kbps,connect failed: Network is unreachable
